Sample;W/G Name;Generation;Generation_combinedF0;Original name;Date extraction;Body part;Control;Condition;Fragmented;Storage;WNV;USUV;Water%;Comment_water;Food_larvae;Bloodmeal;WTA conc;Antibiotic;Origin;Taxonomy;Experiment
LS52;;F9;F9;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;136;NA;;Culex;LS
LS53;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;128;NA;;Culex;LS
LS55;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;153;NA;;Culex;LS
LS56;;F9;F9;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;153;NA;;Culex;LS
LS57;;F6;F6;;08.07.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;122;NA;;Culex;LS
LS59;;F5;F5;;08.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;281;NA;;Culex;LS
LS6;;F7;F7;;10.06.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;170;NA;;Culex;LS
LS60;;F8;F8;;08.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;179;NA;;Culex;LS
LS61;;F4;F4;;09.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;234;NA;;Culex;LS
LS62;;F0 2023;F0;;09.07.2024;whole mosquito;no;dry;no;-20°C;no;no;1;Arenberg;wild;no;179;NA;;Culex;LS
LS63;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;66.5;NA;;Culex;LS
LS64;;F3;F3;;09.07.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;102;NA;;Culex;LS
LS65;;F9;F9;;09.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;122;NA;;Culex;LS
LS66;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;64;NA;;Culex;LS
LS69;;F7;F7;;09.07.2024;whole mosquito;no;PBS;no;-80°C;no;no;0;Tap;cat food;no;51;NA;;Culex;LS
LS7;;F5;F5;;10.06.2024;whole mosquito;no;PBS;no;-20°C;no;no;0.5;Arenberg;fish food, yeast and cat food;no;199;NA;;Culex;LS
LS70;;F9;F9;;09.07.2024;whole mosquito;no;dry;no;-80°C;no;no;0;MiliQ;cat food;no;119;NA;;Culex;LS
LS71;;NA;NA;NA;NA;whole mosquito;no;dry;no;-20°C;no;no;;;;;;;;Coquillettidia;LS_excluded
LS73;G18;F0 2022;F0;USUV/GR-0918 (labelled as 0818);10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;21;NA;;Culex;LS
LS74;G30;F0 2022;F0;USUV/GR-1030;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;74.1;NA;;Culex;LS
LS75;W26;F0 2022;F0;WNV-0626;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;64.2;NA;;Culex;LS
LS76;W54;F0 2022;F0;WNV-0754;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;59.1;NA;;Culex;LS
LS77;G20;F0 2022;F0;USUV/GR-0920 (labelled as 0820);10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;59.1;NA;;Culex;LS
